Airport,State
GJT,CO
HRL,TX
DRO,CO
IAH,TX
DEN,CO
TYS,TN
MOB,AL
LNK,NE
BHM,AL
IAD,VA
ECP,FL
AEX,LA
LFT,LA
BTR,LA
ABQ,NM
BUF,NY
ALB,NY
HSV,AL
TUL,OK
CPR,WY
CRP,TX
EWR,NJ
DCA,VA
STL,MO
CVG,KY
RIC,VA
PVD,RI
CLT,NC
GSO,NC
ERI,PA
ORD,IL
LEX,KY
ABE,PA
CAK,OH
AVL,NC
DAY,OH
CHO,VA
ROA,VA
PWM,ME
LIT,AR
MKE,WI
BTV,VT
OMA,NE
GRB,WI
MLI,IL
SDF,KY
FNT,MI
CHS,SC
PIT,PA
TVC,MI
ATW,WI
DLH,MN
ROC,NY
SPI,IL
HPN,NY
MBS,MI
CID,IA
MYR,SC
CAE,SC
SGF,MO
AVP,PA
GRR,MI
DSM,IA
CLE,OH
PIA,IL
MSN,WI
MDT,PA
SBN,IN
MEM,TN
ICT,KS
SHV,LA
XNA,AR
DIK,ND
GPT,MS
PNS,FL
LRD,TX
LCH,LA
MFE,TX
FLG,AZ
BRO,TX
SAF,NM
PQI,ME
ORF,VA
LGA,NY
SYR,NY
RDU,NC
ILM,NC
IND,IN
PHL,PA
CMH,OH
SCE,PA
ITH,NY
JAX,FL
OKC,OK
JAN,MS
GSP,SC
TXK,AR
ELP,TX
MAF,TX
AUS,TX
IDA,ID
BNA,TN
SAV,GA
AMA,TX
ATL,GA
BDL,CT
BLI,WA
BOI,ID
BOS,MA
BUR,CA
BWI,MD
BZN,MT
COS,CO
DAL,TX
DTW,MI
EUG,OR
FAT,CA
FLL,FL
GEG,WA
HDN,CO
HNL,HI
HOU,TX
ISP,NY
ITO,HI
KOA,HI
LAS,NV
LAX,CA
LBB,TX
LGB,CA
LIH,HI
MCI,MO
MCO,FL
MDW,IL
MHT,NH
MIA,FL
MSP,MN
MSY,LA
MTJ,CO
OAK,CA
OGG,HI
ONT,CA
PBI,FL
PDX,OR
PHX,AZ
PSP,CA
RNO,NV
RSW,FL
SAN,CA
SAT,TX
SBA,CA
SEA,WA
SFO,CA
SJC,CA
SJU,PR
SLC,UT
SMF,CA
SNA,CA
SRQ,FL
TPA,FL
TUS,AZ
VPS,FL
DFW,TX
HHH,SC
BFL,CA
FAR,ND
YUM,AZ
MLB,FL
FSD,SD
MRY,CA
BMI,IL
RAP,SD
DAB,FL
FAY,NC
GNV,FL
MGM,AL
STS,CA
TLH,FL
MFR,OR
JFK,NY
AGS,GA
EYW,FL
ORH,MA
BGR,ME
CHA,TN
CRW,WV
BQK,GA
OAJ,NC
LAN,MI
AZO,MI
DHN,AL
TRI,TN
BIS,ND
VLD,GA
ABY,GA
GTR,MS
MLU,LA
MOT,ND
RST,MN
CWA,WI
CSG,GA
EVV,IN
GFK,ND
FWA,IN
BGM,NY
STT,VI
EGE,CO
JAC,WY
MSO,MT
STX,VI
GUC,CO
PHF,VA
PGV,NC
ART,NY
HTS,WV
LYH,VA
FLO,SC
SBY,MD
ADQ,AK
ANC,AK
BET,AK
BRW,AK
SCC,AK
JNU,AK
KTN,AK
CDV,AK
YAK,AK
FAI,AK
SIT,AK
PSG,AK
WRG,AK
OME,AK
OTZ,AK
PAE,WA
ADK,AK
BQN,PR
PSE,PR
BIL,MT
FCA,MT
TTN,NJ
ILG,DE
SWF,NY
USA,NC
SFB,FL
PIE,FL
AZA,AZ
RFD,IL
GRI,NE
PBG,NY
PGD,FL
PVU,UT
TOL,OH
BLV,IL
LCK,OH
ELM,NY
PSM,NH
SCK,CA
IAG,NY
PSC,WA
CKB,WV
STC,MN
HGR,MD
OWB,KY
SMX,CA
GTF,MT
RDM,OR
OGD,UT
PPG,TT
GCK,KS
ACT,TX
ALO,IA
LAW,OK
GGG,TX
COU,MO
SPS,TX
ABI,TX
CMI,IL
DRT,TX
FSM,AR
LSE,WI
TYR,TX
GRK,TX
DBQ,IA
BPT,TX
MHK,KS
SJT,TX
SWO,OK
MQT,MI
SBP,CA
CLL,TX
ACY,NJ
LBE,PA
EWN,NC
ROW,NM
SGU,UT
ACV,CA
ASE,CO
XWA,ND
HLN,MT
OTH,OR
SLN,KS
LWS,ID
HOB,NM
HYS,KS
ALS,CO
CNY,UT
RKS,WY
DVL,ND
JMS,ND
PAH,KY
PRC,AZ
RIW,WY
BFF,NE
DDC,KS
SUX,IA
CMX,MI
MEI,MS
JLN,MO
EAU,WI
GCC,WY
SHR,WY
TBN,MO
FOD,IA
LAR,WY
VEL,UT
OGS,NY
PUB,CO
VCT,TX
DEC,IL
CYS,WY
LBF,NE
JST,PA
MCW,IA
RDD,CA
SHD,VA
CGI,MO
EAR,NE
MKG,MI
LWB,WV
LBL,KS
COD,WY
PIB,MS
BTM,MT
SUN,ID
IMT,MI
RHI,WI
ESC,MI
APN,MI
ABR,SD
PLN,MI
INL,MN
BRD,MN
HIB,MN
CIU,MI
PIH,ID
TWF,ID
EKO,NV
BJI,MN
CDC,UT
YKM,WA
PUW,WA
ALW,WA
EAT,WA
DLG,AK
AKN,AK
GUM,TT
SPN,TT
BIH,CA
WYS,MT
ACK,MA
BKG,MO
GST,AK
MVY,MA
HYA,MA
PIR,SD
ATY,SD
